date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:04	76545/76545	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2007:00:36%20GMT	https://codeskdhaka.com/html/glorio-preview/glorio/index.html	C:/My%20Web%20Sites/RWPD%20PROJECT%201/codeskdhaka.com/html/glorio-preview/glorio/index.html	(from )
22:23:05	1165/1165	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2014:07:33%20GMT	https://codeskdhaka.com/robots.txt		(from )
22:23:06	4117/4117	---M--	200	added ('OK')	image/png	etag:%221015-63b3d293-863ff8888a7d628a;;;%22	https://codeskdhaka.com/html/glorio-preview/glorio/assets/img/favicon.png	C:/My%20Web%20Sites/RWPD%20PROJECT%201/codeskdhaka.com/html/glorio-preview/glorio/assets/img/favicon.png	(from https://codeskdhaka.com/html/glorio-preview/glorio/index.html)
22:23:06	2568/2568	---MCZ	200	added ('OK')	text/css	etag:W/%22cbf-63b3d293-4521c5827b8a53d2;gz%22	https://codeskdhaka.com/html/glorio-preview/glorio/assets/css/preloader.css	C:/My%20Web%20Sites/RWPD%20PROJECT%201/codeskdhaka.com/html/glorio-preview/glorio/assets/css/preloader.css	(from https://codeskdhaka.com/html/glorio-preview/glorio/index.html)
22:23:06	153052/153052	---M-Z	200	added ('OK')	text/css	etag:%22255dc-63b3d293-e5e5e4605bc93075;gz%22	https://codeskdhaka.com/html/glorio-preview/glorio/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/RWPD%20PROJECT%201/codeskdhaka.com/html/glorio-preview/glorio/assets/css/bootstrap.min.css	(from https://codeskdhaka.com/html/glorio-preview/glorio/index.html)
22:23:06	2162/2162	---MCZ	200	added ('OK')	text/css	etag:W/%22b33-63b3d293-63394eee5ad1930b;gz%22	https://codeskdhaka.com/html/glorio-preview/glorio/assets/css/meanmenu.css	C:/My%20Web%20Sites/RWPD%20PROJECT%201/codeskdhaka.com/html/glorio-preview/glorio/assets/css/meanmenu.css	(from https://codeskdhaka.com/html/glorio-preview/glorio/index.html)
22:23:07	75937/75937	---M-Z	200	added ('OK')	text/css	etag:%22128a1-63b3d292-b7a60a84fa548c44;gz%22	https://codeskdhaka.com/html/glorio-preview/glorio/assets/css/animate.min.css	C:/My%20Web%20Sites/RWPD%20PROJECT%201/codeskdhaka.com/html/glorio-preview/glorio/assets/css/animate.min.css	(from https://codeskdhaka.com/html/glorio-preview/glorio/index.html)
22:23:07	13454/13454	---MCZ	200	added ('OK')	text/css	etag:W/%223dbe-63b3d293-833e6760fcd13a10;gz%22	https://codeskdhaka.com/html/glorio-preview/glorio/assets/css/swiper-bundle.css	C:/My%20Web%20Sites/RWPD%20PROJECT%201/codeskdhaka.com/html/glorio-preview/glorio/assets/css/swiper-bundle.css	(from https://codeskdhaka.com/html/glorio-preview/glorio/index.html)
22:23:07	866/866	---MCZ	200	added ('OK')	text/css	etag:W/%224c5-63b3d292-76a3f2da3c4875e4;gz%22	https://codeskdhaka.com/html/glorio-preview/glorio/assets/css/backToTop.css	C:/My%20Web%20Sites/RWPD%20PROJECT%201/codeskdhaka.com/html/glorio-preview/glorio/assets/css/backToTop.css	(from https://codeskdhaka.com/html/glorio-preview/glorio/index.html)
22:23:07	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%221b27-63b3d293-6eb1e826b3f528e0;gz%22	https://codeskdhaka.com/html/glorio-preview/glorio/assets/css/magnific-popup.css	C:/My%20Web%20Sites/RWPD%20PROJECT%201/codeskdhaka.com/html/glorio-preview/glorio/assets/css/magnific-popup.css	(from https://codeskdhaka.com/html/glorio-preview/glorio/index.html)
